time,ax,ay,az,atotal
0.000,0.57,-0.14,0.02,0.59
0.010,0.60,-0.25,-0.29,0.71
0.020,0.71,-0.36,-0.41,0.90
0.030,0.87,-0.42,-0.31,1.02
0.040,0.87,-0.31,-0.41,1.01
0.050,0.75,-0.14,-0.26,0.81
0.060,0.58,-0.08,-0.04,0.59
0.070,0.44,0.08,0.05,0.45
0.080,0.39,0.15,0.23,0.48
0.090,0.23,0.12,0.28,0.38
0.100,-0.03,0.05,0.53,0.53
0.110,-0.25,-0.09,0.92,0.96
0.120,-0.29,-0.12,1.05,1.09
0.130,-0.12,0.03,0.96,0.97
0.140,0.15,0.20,0.95,0.98
0.150,0.31,0.31,0.87,0.98
0.160,0.36,0.31,0.59,0.76
0.170,0.47,0.37,0.42,0.74
0.180,0.59,0.50,0.47,0.90
0.190,0.59,0.41,0.38,0.81
0.200,0.51,0.11,0.27,0.59
0.210,0.56,-0.23,0.10,0.61
0.220,0.68,-0.37,-0.16,0.79
0.230,0.96,-0.29,-0.34,1.06
0.240,1.32,-0.17,-0.41,1.40
0.250,1.40,0.00,-0.23,1.42
0.260,1.41,-0.01,-0.11,1.41
0.270,1.32,-0.40,-0.30,1.41
0.280,1.29,-0.89,-0.44,1.63
0.290,1.30,-1.13,-0.41,1.77
0.300,1.30,-1.12,-0.26,1.73
0.310,1.38,-1.03,-0.31,1.75
0.320,1.58,-0.91,-0.32,1.85
0.330,1.81,-0.84,-0.12,2.00
0.340,1.81,-0.98,-0.04,2.06
0.350,1.54,-1.10,0.51,1.96
0.359,0.77,-1.46,1.16,2.01
0.370,-0.14,-1.69,1.80,2.47
0.380,0.08,-2.44,1.53,2.89
0.390,0.36,-2.68,1.90,3.30
0.400,0.19,-2.68,2.55,3.70
0.410,-0.40,-2.31,3.15,3.92
0.419,-0.46,-1.88,3.43,3.94
0.430,-0.07,-1.46,3.51,3.80
0.440,0.47,-1.03,3.23,3.43
0.450,0.81,-0.64,2.93,3.11
0.459,0.70,-0.22,2.94,3.03
0.469,0.37,-0.16,2.65,2.68
0.480,0.20,-0.36,2.40,2.44
0.489,-0.11,-0.51,2.32,2.38
0.500,-0.15,-0.80,1.76,1.94
0.509,0.21,-1.02,1.42,1.76
0.519,0.53,-0.85,1.26,1.61
0.530,0.77,-0.19,1.06,1.32
0.539,0.33,-0.39,-0.02,0.52
0.549,0.52,-0.42,0.03,0.67
0.559,0.83,-0.44,-0.15,0.95
0.569,1.24,-0.43,0.32,1.35
0.579,1.12,-0.43,0.74,1.41
0.589,1.14,-0.52,0.80,1.49
0.600,1.18,-0.50,0.93,1.58
0.609,1.04,-0.77,0.89,1.57
0.619,0.97,-1.56,-0.00,1.84
0.629,0.87,-3.29,-4.21,5.41
0.639,1.36,-3.59,-4.55,5.95
0.649,1.48,-2.06,-1.01,2.73
0.659,1.06,-0.87,0.23,1.39
0.669,1.05,-0.07,0.08,1.05
0.679,1.44,0.98,1.38,2.22
0.689,2.22,1.18,2.19,3.34
0.700,3.12,-0.00,1.51,3.47
0.709,2.93,-0.86,1.03,3.22
0.719,1.08,-0.24,0.83,1.38
0.729,-0.84,0.58,1.29,1.64
0.739,-1.90,0.94,1.23,2.45
0.749,-1.62,1.30,1.27,2.43
0.759,-0.97,1.19,0.93,1.80
0.769,-0.50,0.49,-0.05,0.70
0.779,0.32,0.36,-0.82,0.95
0.789,1.58,-0.10,-1.29,2.04
0.799,2.21,-0.53,-1.60,2.78
0.809,2.19,-0.68,-1.95,3.01
0.819,1.81,-0.61,-1.37,2.35
0.829,1.01,-0.03,-0.59,1.17
0.839,0.04,0.71,-0.79,1.07
0.849,-1.04,1.73,-0.43,2.07
0.859,-2.21,3.26,1.27,4.13
0.869,-3.32,3.92,3.86,6.42
0.879,-4.16,3.05,4.20,6.65
0.889,-5.13,3.21,3.49,6.99
0.899,-5.84,3.67,4.63,8.31
0.909,-3.75,2.22,6.19,7.57
0.919,-0.51,0.13,5.99,6.01
0.929,-0.18,0.07,5.74,5.74
0.939,-1.39,1.66,7.32,7.63
0.949,-0.78,2.50,7.01,7.49
0.959,-0.97,3.24,5.39,6.36
0.969,-2.48,4.24,5.01,7.01
0.979,-4.41,5.53,4.20,8.23
0.989,-5.90,7.01,3.62,9.85
0.999,-6.41,7.50,2.74,10.24
1.009,-6.37,6.96,1.56,9.56
1.019,-6.39,6.58,0.87,9.21
1.029,-6.35,6.72,-0.25,9.25
1.039,-6.55,7.34,-1.12,9.90
1.049,-6.54,8.31,-1.53,10.68
1.059,-5.83,8.75,-0.41,10.52
1.069,-4.84,7.24,-0.21,8.71
1.079,-3.81,5.60,-1.54,6.95
1.089,-2.25,5.61,-3.00,6.75
1.099,-0.26,6.28,-4.46,7.71
1.109,1.54,7.35,-5.13,9.09
1.119,3.42,8.40,-6.45,11.13
1.129,4.95,8.65,-7.68,12.58
1.143,6.08,7.48,-7.64,12.29
1.149,6.61,5.40,-6.73,10.87
1.158,6.92,3.13,-6.68,10.11
1.168,7.67,2.21,-8.83,11.90
1.178,8.29,2.68,-10.83,13.90
1.188,8.66,2.94,-11.65,14.81
1.198,9.17,3.13,-11.25,14.85
1.208,9.61,3.15,-10.54,14.60
1.219,9.87,2.72,-9.82,14.19
1.228,10.01,1.83,-9.01,13.59
1.238,9.64,0.34,-8.31,12.74
1.249,9.23,-1.38,-7.92,12.24
1.258,8.80,-2.76,-7.65,11.98
1.268,8.17,-3.38,-7.11,11.34
1.278,7.63,-2.82,-5.98,10.09
1.288,7.44,-1.88,-4.78,9.04
1.299,7.27,-1.25,-3.36,8.11
1.308,7.45,-0.67,-2.14,7.78
1.318,7.70,-0.56,-1.03,7.79
1.328,7.74,-0.99,0.32,7.81
1.338,7.69,-1.75,0.82,7.93
1.348,7.42,-2.83,0.22,7.95
1.358,5.70,-6.09,3.01,8.87
1.368,2.39,-10.76,2.84,11.38
1.378,2.91,-8.95,5.42,10.86
1.388,3.86,-3.66,7.31,9.04
1.398,2.70,-0.16,7.94,8.39
1.408,1.31,2.14,7.65,8.05
1.418,0.18,3.82,6.47,7.52
1.428,-0.60,4.67,4.09,6.23
1.438,-1.20,5.25,2.51,5.94
1.448,-1.43,4.86,1.55,5.30
1.458,-1.10,4.05,0.95,4.30
1.468,-0.70,3.12,0.92,3.33
1.478,-0.54,1.79,1.08,2.16
1.488,-0.40,0.46,1.18,1.33
1.498,-0.87,-1.01,1.07,1.71
1.508,-1.85,-2.74,0.69,3.38
1.518,-3.01,-4.53,0.71,5.48
1.528,-4.29,-5.80,1.03,7.29
1.538,-4.54,-5.87,0.64,7.45
1.548,-4.53,-5.48,-0.22,7.12
1.558,-4.00,-4.19,0.04,5.79
1.568,-2.91,-2.78,0.26,4.03
1.578,-2.38,-2.73,0.11,3.63
1.588,-1.81,-2.89,-0.42,3.44
1.598,-0.48,-2.29,-1.19,2.63
1.608,1.37,-1.05,-2.56,3.09
1.618,3.36,0.41,-3.74,5.05
1.628,5.70,2.40,-4.55,7.68
1.638,6.46,4.84,-3.88,8.96
1.648,5.90,6.43,-3.44,9.38
1.658,3.88,5.46,-2.20,7.05
1.668,2.49,4.85,-0.42,5.47
1.678,1.45,4.06,1.58,4.59
1.688,0.51,3.13,4.16,5.23
1.698,-0.19,2.40,5.70,6.18
1.708,-0.13,2.33,5.75,6.20
1.718,0.18,2.10,4.79,5.23
1.728,0.13,1.29,3.82,4.03
1.737,0.17,0.49,1.65,1.73
1.748,-0.87,-0.80,-0.20,1.20
1.758,-0.55,-0.84,-2.27,2.48
1.768,-2.22,-1.91,-1.59,3.33
1.777,-2.19,-2.67,-0.89,3.57
1.787,-1.68,-3.00,-1.57,3.77
1.798,-1.64,-2.38,-0.86,3.02
1.807,1.27,1.00,-1.73,2.36
1.818,6.55,7.01,-3.38,10.17
1.828,3.25,1.13,-6.64,7.48
1.837,1.08,-3.70,-4.62,6.02
1.847,-1.51,-7.32,-2.41,7.86
1.857,-4.59,-9.94,-1.91,11.11
1.868,-5.49,-9.15,0.65,10.69
1.877,-2.85,-3.30,2.35,4.96
1.887,-1.29,0.57,3.29,3.58
1.898,-0.93,1.27,3.75,4.07
1.907,-0.29,0.91,2.99,3.14
1.918,-0.35,0.29,2.21,2.26
1.927,0.11,0.59,4.57,4.61
