time,ax,ay,az,atotal
0.000,0.38,-0.45,0.72,0.93
0.010,0.11,-0.75,0.59,0.96
0.020,-0.06,-0.86,0.87,1.22
0.030,-0.11,-0.71,0.90,1.15
0.040,-0.02,-0.44,0.68,0.81
0.050,0.12,-0.18,0.39,0.45
0.060,0.23,-0.01,0.24,0.33
0.070,0.17,-0.33,0.06,0.38
0.080,0.22,-0.46,0.25,0.57
0.090,0.18,-0.79,0.12,0.82
0.100,0.10,-1.24,-0.04,1.24
0.110,0.04,-1.49,-0.18,1.50
0.120,-0.05,-1.68,-0.09,1.69
0.130,0.04,-1.85,-0.11,1.85
0.140,0.33,-1.82,-0.12,1.86
0.149,0.67,-1.56,-0.42,1.75
0.160,0.96,-1.12,-0.88,1.72
0.170,1.25,-0.66,-1.03,1.75
0.180,1.33,-0.45,-1.06,1.76
0.190,0.97,-0.25,-0.87,1.33
0.200,0.33,-0.09,-0.07,0.35
0.209,-0.29,-0.30,0.94,1.03
0.220,-0.78,-0.86,1.07,1.57
0.230,-0.99,-1.07,1.16,1.86
0.240,-0.86,-1.14,1.47,2.05
0.249,-0.67,-1.28,1.25,1.91
0.259,-0.42,-1.39,0.97,1.75
0.270,-0.29,-1.33,1.06,1.72
0.280,-0.17,-1.17,0.78,1.42
0.289,-0.23,-0.89,0.80,1.22
0.299,-0.54,-0.45,1.18,1.37
0.309,-0.69,-0.18,1.71,1.85
0.320,-0.79,-0.62,2.40,2.60
0.329,-0.80,-1.62,3.02,3.52
0.340,-0.48,-2.23,3.15,3.89
0.349,-0.09,-2.31,2.66,3.52
0.359,0.17,-2.27,2.10,3.10
0.369,0.29,-2.12,2.14,3.03
0.379,0.04,-1.73,2.06,2.69
0.389,-0.24,-1.22,1.72,2.13
0.399,-0.20,-0.59,1.40,1.53
0.409,0.21,0.00,0.71,0.75
0.419,0.70,0.24,0.30,0.80
0.429,0.99,0.06,0.21,1.01
0.439,0.77,-0.34,0.25,0.88
0.449,0.48,-0.99,0.21,1.12
0.459,0.65,-1.00,0.31,1.23
0.469,1.11,-0.76,-0.78,1.56
0.479,-0.29,-0.06,-2.14,2.16
0.489,-1.11,1.19,-1.31,2.09
0.499,-0.46,1.14,-0.63,1.39
0.509,0.01,1.65,-0.25,1.67
0.519,0.82,0.45,-1.05,1.41
0.529,0.77,0.14,-0.76,1.09
0.539,0.25,-0.73,0.71,1.05
0.549,0.21,-0.98,1.16,1.54
0.559,0.25,-1.03,1.09,1.52
0.569,0.35,-1.19,0.93,1.55
0.579,0.74,-1.53,0.76,1.87
0.589,1.17,-1.49,1.18,2.23
0.599,1.02,-1.57,1.35,2.31
0.609,0.16,-1.57,1.71,2.33
0.619,-0.84,-1.28,2.14,2.63
0.629,-1.44,-0.48,1.29,1.99
