time,ax,ay,az,atotal
0.000,1.44,-1.30,-0.47,2.00
0.010,2.29,-1.74,-0.73,2.97
0.020,2.62,-1.43,-1.23,3.23
0.030,2.08,-0.23,-3.02,3.68
0.040,1.71,0.31,-4.14,4.49
0.050,1.65,-0.73,-2.82,3.35
0.060,1.66,-1.40,-1.32,2.54
0.070,1.73,-1.61,0.07,2.37
0.080,1.77,-1.51,1.09,2.57
0.090,1.93,-1.31,1.75,2.91
0.100,2.22,-1.04,1.59,2.92
0.110,2.47,-0.87,1.07,2.83
0.120,2.47,-0.89,0.62,2.70
0.130,2.12,-0.66,0.51,2.28
0.140,1.77,-0.19,0.42,1.83
0.150,1.72,0.15,0.33,1.76
0.160,1.88,0.17,0.45,1.94
0.170,2.14,-0.37,0.78,2.31
0.180,2.47,-0.93,0.65,2.72
0.190,2.69,-0.92,0.36,2.86
0.200,2.63,-1.02,0.02,2.82
0.210,2.47,-1.05,-0.12,2.68
0.220,2.30,-0.95,-0.03,2.49
0.230,2.16,-0.91,-0.18,2.35
0.239,1.98,-0.46,0.10,2.04
0.250,1.66,-0.34,1.00,1.97
0.260,1.34,-0.71,1.52,2.15
0.270,1.28,-0.83,1.20,1.94
0.280,1.36,-0.59,0.30,1.52
0.290,1.50,-0.50,-0.03,1.58
0.300,1.26,-1.08,0.06,1.66
0.310,1.04,-1.53,0.09,1.85
0.319,0.95,-1.45,0.04,1.73
0.330,0.71,-1.11,0.03,1.32
0.340,0.43,-0.64,0.14,0.78
0.350,0.51,0.35,0.80,1.01
0.360,0.18,0.79,1.67,1.86
0.370,-0.30,0.28,2.37,2.40
0.379,-0.45,-0.56,2.01,2.14
0.390,0.02,-0.60,0.71,0.93
0.399,0.42,-0.29,-0.60,0.79
0.409,0.47,-0.38,-1.09,1.24
0.419,0.57,0.15,-0.83,1.02
0.429,0.42,0.83,0.05,0.93
0.439,0.19,0.86,0.81,1.20
0.449,0.14,0.85,0.85,1.21
0.459,0.20,0.55,0.15,0.60
0.469,0.34,-0.07,-0.74,0.81
0.479,0.57,-0.34,-1.47,1.62
0.489,0.72,-0.27,-1.75,1.91
