time,ax,ay,az,atotal
0.000,0.52,-0.09,0.94,1.08
0.010,0.33,-0.49,0.71,0.93
0.020,-0.06,-0.65,0.41,0.77
0.030,-0.49,-0.96,-0.03,1.08
0.040,-1.13,-1.27,-0.30,1.73
0.050,-2.05,-1.58,-0.70,2.68
0.060,-2.36,-1.38,-1.58,3.16
0.070,-1.88,-1.08,-2.00,2.95
0.080,-1.17,-1.14,-1.21,2.04
0.090,-0.46,-0.88,-1.12,1.49
0.100,0.19,-0.18,-1.15,1.18
0.110,0.76,0.14,-1.15,1.38
0.120,0.88,0.12,-0.57,1.06
0.130,1.17,0.13,-0.69,1.37
0.140,1.01,0.09,-0.86,1.33
0.150,0.12,-0.20,-0.99,1.01
0.160,-0.79,-0.65,-1.51,1.83
0.170,-1.74,-0.89,-2.35,3.06
0.180,-2.31,0.65,-2.93,3.79
0.190,-1.64,2.91,-3.01,4.50
0.200,-0.26,2.77,-2.18,3.54
0.210,1.18,1.71,-0.15,2.08
0.220,2.43,1.13,1.48,3.06
0.230,3.22,1.21,1.10,3.61
0.240,3.03,1.25,1.21,3.49
0.250,2.28,0.73,0.84,2.54
0.259,1.65,0.69,0.06,1.79
0.270,0.60,0.47,-0.19,0.78
0.280,-0.52,0.59,-0.78,1.11
0.289,-1.25,1.21,-1.75,2.47
0.300,-1.62,1.62,-1.77,2.89
0.310,-2.62,0.86,-2.56,3.76
0.319,-4.40,0.22,-3.53,5.65
0.330,-5.67,0.44,-4.09,7.01
0.340,-5.82,1.21,-4.17,7.26
0.350,-3.61,2.64,-2.24,5.00
0.359,0.13,3.27,2.23,3.96
0.369,4.26,1.94,5.74,7.41
0.380,6.65,-0.52,8.26,10.62
0.390,6.96,-2.62,8.94,11.63
0.399,5.71,-3.25,7.29,9.81
0.410,2.78,-2.93,5.24,6.62
0.420,-0.11,-2.34,1.94,3.04
0.430,-1.48,-0.25,-0.62,1.62
0.440,-1.68,1.92,-0.77,2.66
0.449,-0.24,1.63,0.48,1.71
0.459,2.05,0.49,2.38,3.18
0.469,3.51,-0.95,3.83,5.29
0.479,3.76,-1.93,3.83,5.70
0.489,2.86,-1.84,2.60,4.27
0.499,1.54,-0.89,0.80,1.95
0.509,0.63,0.11,-0.26,0.69
0.519,0.13,0.05,-0.25,0.28
0.529,0.02,-0.48,-0.18,0.52
0.539,-0.28,-0.99,-0.01,1.03
0.549,-0.32,-0.85,-0.22,0.93
0.559,-0.23,-0.63,-0.24,0.72
0.569,-0.31,-1.07,0.11,1.12
0.579,-0.31,-1.39,0.01,1.42
0.589,-0.52,-1.61,-0.10,1.69
0.599,-1.05,-1.61,-0.69,2.04
0.609,-1.30,-1.10,-1.19,2.08
0.619,-0.91,-0.58,-0.86,1.38
0.629,-0.09,-0.22,0.04,0.24
0.639,0.81,-0.04,0.79,1.13
0.649,1.48,0.47,1.24,1.99
0.659,1.81,0.93,1.27,2.40
0.669,1.75,0.86,1.16,2.27
0.679,1.33,0.71,0.66,1.64
0.689,0.56,0.52,0.23,0.79
0.699,-0.12,0.16,-0.42,0.47
0.709,-0.55,0.12,-1.09,1.23
0.719,-0.69,0.16,-1.55,1.71
0.729,-1.06,-0.25,-2.15,2.41
0.739,-1.54,-0.51,-2.49,2.97
0.749,-1.59,-0.54,-2.96,3.41
0.759,-1.09,-0.14,-3.11,3.30
0.769,-0.26,0.07,-2.57,2.59
0.779,0.55,0.03,-1.57,1.67
0.789,1.14,0.14,-0.85,1.43
0.799,1.67,1.01,-0.79,2.10
0.809,1.98,2.18,-0.53,2.99
0.819,1.56,3.03,-0.95,3.54
0.829,0.08,3.60,-0.76,3.68
0.839,-1.25,2.80,0.19,3.07
0.849,-1.48,2.71,-0.35,3.11
0.859,-1.55,3.80,-1.71,4.45
0.869,-1.54,4.89,-2.50,5.70
0.879,-0.95,5.69,-2.13,6.15
0.889,0.25,5.30,-2.05,5.69
0.899,0.75,3.84,-1.26,4.11
0.909,0.60,1.90,0.36,2.02
0.919,1.15,-0.23,1.16,1.65
0.929,1.16,-2.33,1.75,3.14
0.938,0.91,-3.19,0.99,3.46
0.949,0.66,-3.18,1.83,3.73
0.959,1.03,-3.30,1.15,3.64
0.969,1.29,-1.59,0.51,2.11
0.979,1.66,-2.82,3.47,4.77
0.989,2.17,-5.83,2.75,6.80
0.999,2.13,-5.80,1.51,6.36
1.009,2.00,-6.20,2.37,6.93
1.019,2.48,-5.99,1.24,6.61
1.028,2.66,-4.94,1.82,5.90
1.039,2.68,-3.95,1.78,5.10
1.048,2.51,-2.20,0.08,3.34
1.059,1.86,-0.04,-1.70,2.52
1.069,1.10,0.60,-1.86,2.24
1.079,0.94,0.37,-0.73,1.25
1.089,0.53,-0.22,1.67,1.77
1.099,-0.19,0.37,3.09,3.12
1.108,-0.56,1.40,3.38,3.71
1.118,-0.71,2.50,3.56,4.41
1.128,-0.68,2.61,2.91,3.98
1.138,-0.17,2.57,1.80,3.14
1.148,-0.05,3.25,0.14,3.25
1.159,-0.34,3.47,-1.40,3.76
1.168,-0.99,1.16,-2.03,2.54
1.178,-3.20,-2.87,-2.21,4.84
1.188,-5.38,-5.50,-3.25,8.35
1.198,-5.22,4.01,-1.62,6.78
1.208,-3.43,6.26,0.93,7.20
1.218,0.17,2.13,1.81,2.80
1.228,2.00,-0.18,3.84,4.33
1.238,3.09,-0.80,2.50,4.06
1.248,4.07,-1.30,-1.55,4.55
1.258,4.77,-1.37,-4.18,6.49
1.268,5.33,-2.02,-5.36,7.82
1.278,5.58,-2.66,-5.56,8.32
1.288,5.75,-3.66,-4.75,8.31
1.298,5.51,-4.75,-4.21,8.41
1.308,5.03,-5.07,-4.15,8.26
1.318,4.32,-5.43,-3.68,7.86
1.328,3.58,-4.59,-4.23,7.20
1.338,2.66,-2.66,-4.44,5.82
1.348,1.57,-1.20,-4.48,4.89
1.358,-0.39,-0.58,-3.04,3.12
1.368,-2.06,-1.41,-0.93,2.66
1.378,-2.77,-0.53,0.68,2.90
1.388,-2.99,0.50,2.75,4.09
1.398,-2.99,0.67,4.39,5.35
1.408,-2.69,0.61,5.23,5.91
1.418,-2.33,0.38,4.95,5.48
1.428,-1.83,-0.08,4.70,5.04
1.438,-1.20,-0.22,4.45,4.61
1.448,-0.53,-0.05,3.75,3.79
1.458,0.36,-0.37,3.51,3.55
1.468,1.41,-0.81,2.39,2.89
1.478,1.98,0.06,0.23,2.00
1.488,2.13,-0.30,-0.75,2.28
1.498,1.54,-1.71,-1.17,2.59
1.508,1.09,-1.38,-1.33,2.20
1.518,1.44,-0.55,-0.98,1.83
1.528,2.19,-0.99,-1.45,2.80
1.538,3.17,-1.35,-1.94,3.96
1.548,3.81,-1.47,-1.67,4.41
1.558,4.12,-0.92,-1.03,4.35
1.568,3.33,0.82,-0.20,3.44
1.578,2.14,1.75,-0.26,2.78
1.588,0.62,2.30,-0.19,2.39
1.598,-0.54,2.49,0.24,2.55
1.608,-0.94,2.24,-0.28,2.45
1.618,-1.65,1.89,-0.49,2.56
1.628,-3.41,2.56,-0.16,4.26
1.638,-4.39,3.38,-0.36,5.55
1.648,-3.79,3.99,-0.33,5.52
1.657,-2.07,4.90,0.49,5.34
1.668,-1.23,5.01,1.27,5.31
1.678,-0.24,4.80,1.67,5.09
1.688,1.40,3.33,2.18,4.22
1.697,5.08,5.42,-0.01,7.43
1.708,4.45,5.02,-0.89,6.77
1.718,1.41,5.37,-0.92,5.63
1.728,-0.28,0.21,0.63,0.72
1.738,-0.53,0.00,-0.86,1.01
1.747,0.18,0.75,-3.19,3.29
1.757,1.73,2.02,-3.19,4.15
1.768,2.95,1.12,1.33,3.42
1.778,4.23,-1.15,3.58,5.66
1.788,4.45,-2.05,-3.13,5.81
1.798,3.05,0.45,-13.79,14.13
1.808,0.48,-1.35,-6.18,6.35
1.817,-1.15,-5.22,-2.48,5.89
1.827,-1.70,-6.23,-2.08,6.78
1.837,-1.42,-5.89,-0.56,6.09
1.847,1.77,-6.04,0.01,6.29
1.857,2.95,-5.46,0.49,6.23
1.867,2.47,-4.74,0.86,5.42
1.877,4.66,-4.40,1.43,6.57
1.887,6.35,-3.30,0.61,7.18
1.897,5.64,-3.52,-3.28,7.42
1.907,4.82,-4.62,-4.12,7.84
1.917,1.77,-4.93,0.48,5.26
1.927,-1.35,-3.18,2.65,4.36
1.937,-2.42,-2.03,3.76,4.91
1.947,-2.67,-3.69,5.07,6.82
1.957,-2.48,-4.87,5.93,8.06
1.967,-2.57,-3.21,5.63,6.98
1.977,-2.34,1.09,5.16,5.77
1.987,-1.57,4.88,2.14,5.55
1.997,-0.92,5.46,-1.58,5.75
2.007,-0.16,5.09,-3.13,5.98
2.017,1.37,6.36,-4.52,7.93
2.027,1.74,5.70,-4.29,7.34
2.037,0.90,5.94,-2.71,6.59
2.047,-0.77,6.25,-1.16,6.41
2.057,-1.27,6.06,-0.86,6.26
2.067,-1.51,4.92,-1.33,5.31
2.077,-1.23,2.67,-0.92,3.08
2.087,0.68,1.87,-0.14,2.00
2.097,2.79,0.73,1.44,3.22
2.107,2.62,-1.25,2.36,3.74
2.117,0.21,-3.05,2.22,3.78
2.127,-2.04,-5.26,2.04,6.00
2.137,-1.72,-8.13,0.45,8.32
2.147,0.13,-9.62,-2.41,9.92
2.157,1.79,-9.17,-3.07,9.83
