time,ax,ay,az,atotal
0.000,-0.18,-0.40,1.18,1.26
0.010,-0.53,-1.03,0.63,1.31
0.020,-0.45,-1.44,0.01,1.51
0.030,0.09,-1.56,-0.17,1.57
0.040,0.53,-1.21,-0.04,1.32
0.050,0.61,-0.71,0.17,0.95
0.060,0.70,-0.56,0.03,0.89
0.070,0.86,-0.74,-0.18,1.15
0.080,1.04,-0.58,-0.17,1.21
0.090,0.87,-0.74,0.21,1.16
0.100,0.69,-0.96,0.36,1.23
0.110,0.61,-1.12,0.28,1.31
0.120,0.78,-0.98,0.29,1.28
0.130,0.53,-0.78,0.25,0.97
0.140,0.63,-0.49,0.25,0.83
0.150,0.49,0.17,0.04,0.52
0.160,0.86,0.19,0.40,0.97
0.170,1.19,-0.13,0.01,1.20
0.180,1.32,-0.27,-1.13,1.76
0.190,1.25,-0.43,-1.48,1.98
0.200,1.16,-0.89,-1.11,1.84
0.210,1.08,-1.40,-1.17,2.12
0.220,1.13,-1.61,-0.87,2.15
0.230,0.65,-1.10,-0.12,1.28
0.240,-0.20,-0.18,-0.04,0.27
0.250,-0.39,0.01,0.77,0.86
0.260,-0.34,-0.53,1.59,1.71
0.270,-0.26,-1.26,2.22,2.57
0.280,-0.54,-1.76,1.11,2.15
0.290,-0.48,-2.19,0.84,2.40
0.300,0.13,-2.35,0.54,2.41
0.310,0.76,-2.27,-1.23,2.69
0.320,0.62,-1.16,0.96,1.63
0.330,1.03,-0.86,1.56,2.06
0.340,0.99,-1.84,1.00,2.32
0.350,0.62,-1.37,1.97,2.48
0.360,0.27,-0.56,2.51,2.59
0.369,0.15,-0.45,2.40,2.45
0.380,0.28,-0.04,2.16,2.18
0.390,0.60,0.36,2.00,2.11
0.399,0.68,-0.30,1.99,2.12
0.410,0.52,-0.78,2.60,2.76
0.419,0.16,-0.86,2.65,2.79
0.429,0.10,-0.85,2.91,3.03
0.439,-0.11,-0.79,3.36,3.45
0.449,-0.40,-0.05,3.92,3.94
0.459,-0.17,0.39,5.53,5.54
0.469,-0.08,-0.61,4.43,4.47
0.479,0.15,-1.44,3.12,3.44
0.490,0.51,-1.15,3.00,3.25
0.499,0.13,-0.57,3.34,3.39
0.509,-0.36,-0.27,3.36,3.39
0.519,-0.37,-0.50,3.23,3.29
0.529,-0.32,-0.89,2.74,2.90
0.539,-0.12,-1.06,2.10,2.36
0.549,0.01,-1.29,1.78,2.20
0.559,-0.06,-1.27,1.16,1.72
0.569,0.08,-0.73,0.01,0.74
0.579,0.14,0.04,-0.58,0.60
0.589,-0.17,0.59,-1.19,1.34
0.599,-0.34,0.50,-1.47,1.59
0.609,-0.33,0.16,-1.56,1.60
0.619,-0.66,-0.07,-1.94,2.05
0.629,-2.34,-0.16,-3.18,3.95
0.639,-2.32,-0.53,-2.51,3.46
0.649,-0.83,-0.77,-0.55,1.26
0.659,-0.28,-0.01,-0.56,0.62
0.669,-0.05,-0.05,-1.56,1.56
0.679,0.65,0.52,-1.44,1.66
0.689,0.90,1.12,-1.23,1.89
0.699,-0.23,-0.04,-1.50,1.52
0.709,-0.42,-1.25,-0.95,1.63
0.719,-0.27,-1.94,-0.24,1.97
0.729,-0.58,-2.08,-0.37,2.19
0.739,-0.68,-1.63,-0.06,1.76
0.749,-0.48,-1.07,0.32,1.22
0.759,-0.02,-0.65,0.37,0.75
0.769,0.46,-0.81,0.14,0.94
0.779,0.66,-1.47,1.12,1.96
0.789,0.41,-2.38,1.51,2.85
0.799,0.38,-3.06,2.21,3.80
0.809,0.52,-2.83,2.09,3.55
0.819,0.83,-1.62,0.98,2.06
0.829,0.24,-0.34,1.07,1.14
0.839,-1.06,1.02,1.47,2.08
0.849,-1.43,-0.16,1.66,2.20
0.859,-2.14,-1.48,4.11,4.86
0.869,-1.09,-1.83,5.44,5.84
0.879,1.35,-2.90,2.74,4.21
0.889,2.83,-3.77,0.36,4.73
0.899,2.25,-3.56,2.79,5.05
0.909,1.23,-2.38,6.56,7.08
0.919,-0.16,-1.05,8.85,8.91
0.929,-1.58,0.15,8.76,8.91
0.939,-3.26,1.16,8.77,9.43
0.949,-6.38,2.74,13.31,15.01
0.959,-6.54,4.75,13.45,15.69
0.969,-5.17,5.52,9.93,12.49
0.979,-3.79,6.48,7.82,10.84
0.989,-2.02,8.20,4.32,9.49
0.999,-1.47,7.27,2.25,7.75
1.009,0.33,6.96,-1.04,7.04
1.018,0.72,4.98,3.00,5.86
1.029,0.33,3.36,1.88,3.86
1.039,0.39,3.62,0.16,3.65
1.049,-1.12,2.89,-2.73,4.13
1.058,-3.17,3.08,-7.45,8.66
1.068,-5.69,3.70,-9.27,11.49
1.079,-7.36,4.06,-7.70,11.40
1.088,-7.55,2.65,-3.67,8.80
1.099,-4.60,0.36,-3.89,6.04
1.109,-1.47,-1.13,-11.55,11.69
1.118,1.16,-0.53,-10.61,10.69
1.129,2.07,0.08,-10.20,10.40
1.138,0.97,1.09,-9.73,9.84
1.148,-0.05,2.39,-8.79,9.10
1.158,0.67,3.70,-10.22,10.89
1.169,0.89,3.53,-10.72,11.32
1.178,0.46,3.15,-9.64,10.15
1.188,-0.45,2.99,-6.90,7.54
1.198,0.72,4.41,-6.44,7.84
1.208,2.83,5.05,-6.17,8.46
1.218,4.38,4.08,-5.31,8.00
1.228,5.72,3.30,-4.29,7.87
1.238,6.58,2.58,-3.32,7.81
