time,ax,ay,az,atotal
0.000,-0.44,0.86,0.13,0.97
0.010,-0.39,0.81,-0.02,0.90
0.020,-0.27,0.51,0.12,0.59
0.030,0.00,-0.00,-0.08,0.08
0.040,0.10,-0.37,0.15,0.41
0.050,0.23,-0.56,0.55,0.82
0.060,0.43,-0.73,0.44,0.95
0.070,0.34,-0.66,0.08,0.75
0.080,-0.15,-0.28,-0.11,0.34
0.090,-0.44,0.02,-0.41,0.60
0.100,-0.50,0.18,-0.72,0.90
0.110,-0.57,0.45,-0.78,1.07
0.120,-0.45,0.56,-0.55,0.91
0.130,-0.17,0.31,-0.26,0.44
0.140,-0.05,-0.19,0.10,0.23
0.150,0.33,-0.56,0.67,0.94
0.160,0.73,-0.59,0.91,1.31
0.169,0.64,-0.42,0.89,1.18
0.180,0.32,-0.30,0.41,0.60
0.190,-0.03,-0.37,-0.08,0.38
0.200,-0.38,-0.29,-0.55,0.73
0.209,-0.66,-0.05,-1.08,1.27
0.220,-0.83,0.27,-1.42,1.66
0.229,-0.79,0.71,-1.70,2.01
0.239,-0.76,0.80,-1.75,2.07
0.249,-0.31,0.39,-1.97,2.03
0.260,0.75,-0.10,-1.53,1.71
0.270,1.61,0.13,-0.77,1.79
0.279,2.18,0.19,0.24,2.20
0.289,2.42,0.19,0.60,2.50
0.299,1.89,0.17,0.44,1.94
0.309,1.09,0.29,-0.13,1.13
0.319,0.38,0.48,-0.90,1.09
0.329,-0.11,0.49,-1.53,1.61
0.339,-0.54,0.42,-2.09,2.20
0.349,-1.10,0.63,-2.41,2.72
0.359,-1.03,0.97,-3.38,3.66
0.369,-0.66,0.80,-4.07,4.21
0.379,-0.11,0.75,-3.83,3.91
0.390,0.77,0.66,-3.32,3.47
0.399,1.37,-0.03,-2.58,2.92
0.409,2.19,-0.73,-3.37,4.08
0.419,2.90,-0.96,-4.05,5.08
0.429,2.91,-0.26,-4.58,5.43
0.439,2.69,0.25,-5.24,5.89
0.449,2.27,-0.07,-5.57,6.02
0.459,2.26,-0.11,-6.30,6.69
0.469,2.75,-0.05,-6.09,6.68
0.479,2.95,-0.62,-5.59,6.35
0.489,3.15,-1.71,-3.56,5.05
0.499,3.45,-1.60,-2.43,4.51
0.509,2.97,-0.92,-2.47,3.97
0.519,1.79,0.50,-3.00,3.53
0.529,0.18,2.12,-2.93,3.62
0.539,-1.01,1.24,-3.66,3.99
0.549,-2.25,0.81,-4.30,4.92
0.559,-3.87,1.69,-3.49,5.47
0.569,-5.34,2.71,-2.44,6.47
0.579,-7.26,4.25,-1.36,8.52
0.589,-14.67,4.04,-2.75,15.46
0.599,-25.35,0.17,-1.94,25.43
0.612,-25.25,-3.73,6.59,26.36
0.619,-13.49,-0.81,18.41,22.83
0.629,-4.97,0.88,14.35,15.21
0.639,-3.44,3.36,9.52,10.67
0.649,-1.21,6.82,5.72,8.99
0.659,0.49,7.85,1.58,8.02
0.669,0.66,8.55,-0.43,8.59
0.679,0.27,8.94,0.04,8.94
0.689,0.51,8.13,1.03,8.21
0.699,0.79,6.74,1.26,6.90
0.709,0.46,5.49,0.83,5.57
0.719,0.28,3.86,0.28,3.88
0.729,0.06,2.77,-1.27,3.05
0.739,-0.83,3.40,-1.57,3.83
0.749,-1.36,3.19,-2.23,4.12
0.759,-2.04,2.55,-1.88,3.77
0.769,-2.55,1.95,-1.18,3.42
0.779,-2.93,2.74,-0.36,4.02
0.789,-3.03,1.09,0.74,3.30
0.799,-1.97,0.09,0.67,2.08
0.809,-0.92,3.08,1.29,3.47
0.819,-1.47,0.53,2.28,2.76
0.829,-1.31,-4.05,3.83,5.73
0.839,0.94,-2.96,2.95,4.28
0.848,0.07,-4.75,3.17,5.71
0.859,0.67,-3.71,0.57,3.81
0.869,-1.12,-4.93,2.11,5.48
0.879,-1.97,-5.08,-1.56,5.67
0.889,-1.33,-2.32,-2.33,3.55
0.899,-3.16,-5.70,-1.41,6.67
0.909,-4.42,-7.25,-0.86,8.53
0.919,-2.93,-7.72,0.67,8.29
0.928,-3.07,-7.41,3.04,8.58
0.939,-2.13,-7.90,3.83,9.04
0.948,-0.29,-8.13,3.60,8.90
0.958,0.36,-8.36,4.58,9.54
0.969,0.40,-8.36,3.87,9.22
0.979,-0.19,-4.32,2.94,5.23
0.988,-1.17,-1.12,2.06,2.62
0.999,-1.45,-0.16,1.68,2.23
1.008,-0.89,-0.51,2.52,2.72
1.018,0.28,-2.53,3.52,4.35
1.028,1.30,-4.21,3.95,5.92
1.039,1.40,-4.71,3.11,5.81
1.048,-0.44,-1.94,2.47,3.18
1.058,-0.96,-3.23,-1.52,3.70
1.068,-0.86,-2.69,-0.37,2.84
1.078,-0.10,-2.12,-0.77,2.26
1.088,1.72,-2.44,-1.43,3.31
1.098,3.76,-3.65,-0.11,5.24
1.108,5.08,-2.79,1.24,5.93
1.118,5.50,-4.25,2.50,7.39
1.128,4.38,-5.33,1.23,7.01
1.138,0.04,-2.93,-2.61,3.92
1.148,-6.71,4.06,-5.62,9.65
1.158,-11.05,10.18,-5.35,15.94
1.168,-9.70,9.44,-1.66,13.64
1.178,-5.43,6.32,2.83,8.81
1.188,-1.40,2.75,5.77,6.54
1.198,-0.26,0.19,7.09,7.10
1.208,-1.36,-1.58,6.09,6.44
1.218,-3.40,-3.27,2.47,5.32
1.228,-5.41,-3.35,-1.88,6.64
1.238,-6.21,-2.64,-4.80,8.28
1.248,-4.86,-0.62,-6.77,8.35
1.258,-1.29,4.02,-5.26,6.75
1.268,3.64,6.49,-1.02,7.51
1.278,7.04,5.49,2.58,9.29
1.288,6.66,1.28,3.75,7.75
1.298,4.52,-1.60,3.02,5.67
1.308,2.23,-1.07,2.60,3.59
1.318,3.20,-0.38,1.58,3.58
1.328,4.48,-2.64,-1.44,5.39
